===== WPFI OUTPUT =====
dataset = D:\Phan-mem-huong-doi-tuong-main\src\data\mushrooms.txt
input   = D:\Phan-mem-huong-doi-tuong-main\src\input.txt
MSUP=2  T=0.1  useExactTail=false
transactions=100
----------------------------------------------
Itemset	k	mu	pTail	avgW	score
{108, 23, 79}	3	5.750210	0.978520	0.539447	0.527860
{12, 88, 97}	3	6.099324	0.984066	0.536311	0.527765
{50, 57, 90}	3	5.508535	0.973627	0.541631	0.527346
{128, 39, 90}	3	13.918159	0.999987	0.527128	0.527121
{23, 44, 88}	3	5.843009	0.980155	0.537767	0.527094
{128, 88, 94}	3	13.631612	0.999982	0.526989	0.526980
{108, 44, 97}	3	3.118093	0.817810	0.644226	0.526854
{21, 26, 97}	3	3.515615	0.865753	0.608534	0.526840
{128, 9, 97}	3	5.604022	0.975677	0.539834	0.526704
{104, 21, 56}	3	4.926284	0.957014	0.550267	0.526613
{79, 9, 90}	3	5.331549	0.969377	0.543173	0.526539
{1, 6, 88}	3	7.308435	0.994434	0.529384	0.526438
{36, 9, 90}	3	4.031596	0.910709	0.578039	0.526425
{36, 39, 97}	3	10.573766	0.999704	0.526490	0.526334
{1, 56, 94}	3	11.568027	0.999881	0.525883	0.525820
{26, 42, 67}	3	4.936815	0.957389	0.549126	0.525727
{12, 57, 90}	3	7.100085	0.993317	0.529228	0.525692
{23, 26, 97}	3	6.108534	0.984192	0.534070	0.525627
{108, 57, 79}	3	7.628908	0.995805	0.527837	0.525623
{108, 39, 79}	3	6.577985	0.989462	0.531081	0.525484
{113, 120, 97}	3	5.179896	0.965216	0.544176	0.525248
{104, 6, 94}	3	5.588084	0.975346	0.538352	0.525080
{104, 97}	2	23.249821	1.000000	0.525048	0.525048
{128, 42, 56}	3	11.985990	0.999919	0.525090	0.525047
{42, 44, 56}	3	4.114226	0.916441	0.572838	0.524972
{113, 22, 42}	3	2.935764	0.791050	0.663633	0.524967
{104, 42, 71}	3	12.084952	0.999926	0.524884	0.524845
{22, 23, 57}	3	6.991086	0.992648	0.528341	0.524456
{120, 9, 94}	3	5.188519	0.965466	0.543051	0.524297
{128, 57, 90}	3	14.380032	0.999991	0.523884	0.523880
{21, 42, 9}	3	2.055963	0.608930	0.859580	0.523424
{21, 36}	2	14.804643	0.999994	0.523269	0.523265
{36, 57, 97}	3	13.220297	0.999974	0.523247	0.523233
{5, 56, 88}	3	6.310455	0.986715	0.530224	0.523180
{120, 23, 97}	3	10.116678	0.999551	0.523267	0.523032
{108, 36, 67}	3	6.813098	0.991411	0.527544	0.523013
{23, 5}	2	13.502291	0.999980	0.522918	0.522907
{104, 67, 97}	3	12.178877	0.999932	0.522791	0.522755
{113, 23, 5}	3	3.736970	0.887136	0.589048	0.522566
{26, 42, 56}	3	5.076429	0.962070	0.543086	0.522487
{12, 42, 56}	3	6.160716	0.984886	0.530434	0.522416
{113, 36, 88}	3	6.241645	0.985903	0.529711	0.522244
{1, 57, 9}	3	4.575922	0.942586	0.553872	0.522072
{36, 39, 94}	3	9.132327	0.998905	0.522513	0.521941
{108, 6, 67}	3	2.895770	0.784734	0.664988	0.521838
{25, 94, 97}	3	5.251981	0.967258	0.539474	0.521810
{1, 39, 57}	3	12.178174	0.999932	0.521744	0.521709
{53, 57, 90}	3	5.685329	0.977301	0.533793	0.521676
{108, 25, 90}	3	3.518141	0.866017	0.602329	0.521627
{12, 39, 90}	3	5.764811	0.978786	0.532472	0.521176
{71, 88}	2	29.030101	1.000000	0.521171	0.521171
{56, 6, 67}	3	5.834482	0.980010	0.531775	0.521144
{5, 71, 90}	3	8.605021	0.998241	0.522007	0.521089
{21, 39, 79}	3	6.884915	0.991933	0.525141	0.520904
{113, 128, 94}	3	5.672148	0.977045	0.533005	0.520770
{113, 67, 71}	3	6.549723	0.989200	0.526222	0.520539
{42, 53, 56}	3	5.470579	0.972767	0.534998	0.520429
{42, 53, 67}	3	5.065618	0.961726	0.541038	0.520331
{44, 57, 94}	3	4.719218	0.948972	0.548234	0.520259
{67, 71, 88}	3	13.875235	0.999986	0.520206	0.520199
{104, 23, 39}	3	10.807954	0.999761	0.520245	0.520121
{108, 26}	2	5.805637	0.979511	0.530998	0.520119
{53, 88, 94}	3	5.272116	0.967807	0.536898	0.519614
{23, 79, 90}	3	14.183758	0.999989	0.519412	0.519406
{36, 57, 94}	3	12.573394	0.999953	0.519269	0.519245
{120, 23, 94}	3	10.253897	0.999604	0.519290	0.519084
{104, 94}	2	23.914945	1.000000	0.519082	0.519082
{21, 53, 90}	3	3.264962	0.837085	0.619867	0.518882
{21, 36, 67}	3	7.330659	0.994542	0.521604	0.518758
{1, 22, 42}	3	6.287933	0.986455	0.525862	0.518739
{104, 67, 94}	3	11.292076	0.999847	0.518813	0.518734
{36, 6, 90}	3	6.076136	0.983746	0.527048	0.518481
{67}	1	49.059924	1.000000	0.518276	0.518276
{128, 9, 94}	3	5.248382	0.967158	0.535857	0.518259
{108, 39, 9}	3	2.377228	0.686568	0.754381	0.517934
{1, 9}	2	8.411374	0.997908	0.518932	0.517846
{108, 88, 9}	3	2.285764	0.665850	0.777641	0.517792
{21, 57, 79}	3	6.909660	0.992105	0.521897	0.517777
{25, 42}	2	13.295677	0.999976	0.517202	0.517189
{104, 23, 57}	3	11.389057	0.999860	0.517001	0.516929
{23, 50, 90}	3	4.409101	0.934192	0.553241	0.516833
{113, 5, 90}	3	2.966411	0.795778	0.649417	0.516792
{22, 39, 57}	3	7.179296	0.993766	0.519974	0.516733
{104, 56, 97}	3	10.701075	0.999736	0.516751	0.516614
{108, 57, 9}	3	2.381457	0.687500	0.751137	0.516407
{113, 56, 71}	3	6.904652	0.992071	0.520182	0.516057
{128, 23, 97}	3	11.576450	0.999882	0.516073	0.516012
{23, 5, 67}	3	6.601555	0.989675	0.521370	0.515987
{108, 36, 56}	3	6.563162	0.989325	0.521504	0.515937
{26, 39, 97}	3	5.907547	0.981219	0.525703	0.515830
{5, 56, 97}	3	4.284436	0.927173	0.556278	0.515766
{44, 97}	2	8.867667	0.998610	0.516441	0.515723
{36, 9, 97}	3	4.212619	0.922814	0.558618	0.515500
{21, 6, 67}	3	2.876917	0.781698	0.659048	0.515176
{39, 42, 53}	3	3.759121	0.889092	0.579441	0.515176
{42, 67, 79}	3	13.141602	0.999972	0.515047	0.515033
{1, 39, 9}	3	4.238876	0.924435	0.557115	0.515017
{79, 88, 97}	3	13.820994	0.999985	0.514884	0.514876
{26, 57, 97}	3	6.195266	0.985328	0.522460	0.514794
{113, 22, 88}	3	3.817184	0.894072	0.575753	0.514765
{108, 120}	2	12.197195	0.999933	0.514794	0.514760
{120, 39, 97}	3	10.593333	0.999709	0.514901	0.514751
{1, 113}	2	10.969499	0.999794	0.514654	0.514548
{1, 104, 42}	3	12.394936	0.999945	0.514523	0.514494
{108, 12, 90}	3	3.194688	0.828105	0.621243	0.514454
{113, 120, 88}	3	6.958528	0.992435	0.518122	0.514202
{113, 79, 97}	3	6.342619	0.987079	0.520900	0.514170
{56, 71, 88}	3	12.263856	0.999937	0.514166	0.514134
{42, 79}	2	25.760761	1.000000	0.513433	0.513432
{21, 44}	2	3.966147	0.905910	0.566715	0.513393
{21, 25, 88}	3	4.364534	0.931760	0.550913	0.513319
{42, 53, 6}	3	4.100874	0.915539	0.560577	0.513230
{104, 57, 9}	3	4.716621	0.948863	0.540762	0.513109
{113, 120, 94}	3	4.733804	0.949583	0.540199	0.512964
{12, 23, 97}	3	6.066465	0.983610	0.521417	0.512871
{104, 56, 94}	3	12.184414	0.999933	0.512773	0.512739
{36, 9, 94}	3	4.233737	0.924121	0.554640	0.512555
{25, 42, 67}	3	6.615724	0.989801	0.517560	0.512281
{128, 23, 94}	3	11.384357	0.999859	0.512096	0.512024
{113, 39, 5}	3	3.674484	0.881443	0.580682	0.511838
{120, 57, 97}	3	10.756185	0.999749	0.511657	0.511529
{21, 5, 56}	3	3.528142	0.867056	0.589795	0.511385
{23, 25, 90}	3	5.815311	0.979680	0.521924	0.511319
{42, 50, 94}	3	3.049699	0.808153	0.632615	0.511250
{22, 56, 94}	3	5.586898	0.975321	0.524113	0.511178
{12, 23, 94}	3	6.393121	0.987631	0.517440	0.511040
{39, 79, 90}	3	13.971096	0.999987	0.511045	0.511039
{120, 9, 97}	3	4.407188	0.934090	0.547028	0.510973
{79, 88, 94}	3	15.088051	0.999995	0.510907	0.510904
{120, 39, 94}	3	10.325978	0.999629	0.510923	0.510734
{39, 5}	2	13.734171	0.999984	0.510368	0.510360
{22, 67, 97}	3	4.873645	0.955093	0.534130	0.510144
{44, 94}	2	9.677897	0.999331	0.510475	0.510133
{21, 26}	2	5.650457	0.976618	0.522088	0.509880
{104, 39, 9}	3	4.467409	0.937250	0.544006	0.509870
{1, 67, 88}	3	13.388450	0.999978	0.509845	0.509834
{120, 88, 9}	3	5.735796	0.978255	0.520973	0.509645
{113, 128, 88}	3	8.024332	0.997045	0.510928	0.509418
{113, 36, 94}	3	4.213801	0.922888	0.551789	0.509239
{56, 67}	2	22.955921	1.000000	0.509216	0.509216
{23, 44, 90}	3	3.587366	0.873062	0.583242	0.509207
{42, 56, 79}	3	12.839484	0.999963	0.509007	0.508988
{23, 36, 88}	3	13.939993	0.999987	0.508802	0.508795
{108, 120, 67}	3	6.235612	0.985830	0.515955	0.508643
{104, 39, 57}	3	10.982194	0.999796	0.508635	0.508531
{44, 57, 88}	3	5.213436	0.966181	0.526157	0.508362
{22, 67, 94}	3	4.979259	0.958868	0.530153	0.508346
{21, 23, 6}	3	2.534807	0.719771	0.705816	0.508026
{79, 9, 94}	3	5.686237	0.977318	0.519774	0.507985
{21, 36, 56}	3	6.176915	0.985095	0.515564	0.507880
{21, 25, 94}	3	3.727964	0.886332	0.572990	0.507859
{57, 79, 90}	3	13.628490	0.999982	0.507802	0.507793
{39, 44, 90}	3	3.694515	0.883297	0.574876	0.507786
{104, 6, 88}	3	6.059455	0.983511	0.516275	0.507762
{23, 5, 56}	3	6.189197	0.985252	0.515330	0.507730
{39, 5, 67}	3	6.603230	0.989690	0.513004	0.507715
{120, 57, 94}	3	11.769330	0.999901	0.507680	0.507630
{128, 39, 97}	3	11.282197	0.999845	0.507707	0.507628
{36, 67, 90}	3	13.442538	0.999979	0.507509	0.507498
{39, 42, 44}	3	3.149506	0.822097	0.617280	0.507464
{25, 88, 94}	3	6.432668	0.988047	0.513419	0.507282
{25, 88, 97}	3	5.854188	0.980343	0.517397	0.507226
{26, 39, 94}	3	5.439442	0.972041	0.521726	0.507139
{23, 39, 6}	3	3.090082	0.813909	0.622986	0.507053
{108, 50}	2	4.876681	0.955206	0.530623	0.506854
{25, 57, 90}	3	7.075715	0.993173	0.510314	0.506830
{1, 113, 67}	3	5.976304	0.982293	0.515861	0.506727
{113, 22, 90}	3	3.100480	0.815365	0.621229	0.506529
{25, 39, 90}	3	6.239814	0.985881	0.513558	0.506307
{108, 5, 67}	3	3.298477	0.841217	0.601775	0.506223
{22, 56, 97}	3	4.962368	0.958285	0.528090	0.506061
{67, 71, 9}	3	4.906773	0.956312	0.529074	0.505959
{113, 79, 94}	3	5.764424	0.978779	0.516923	0.505953
{120, 21}	2	12.248197	0.999936	0.505884	0.505852
{108, 128, 67}	3	7.252299	0.994153	0.508761	0.505786
{26, 57, 94}	3	5.588774	0.975361	0.518482	0.505707
{1, 88}	2	25.411417	1.000000	0.505630	0.505630
{56, 71, 9}	3	5.230525	0.966662	0.523034	0.505597
{21, 71, 9}	3	2.850468	0.777377	0.650307	0.505533
{5, 57}	2	12.841868	0.999963	0.505503	0.505484
{23, 53, 94}	3	5.291585	0.968330	0.522005	0.505473
{23, 67, 71}	3	11.531535	0.999877	0.505313	0.505251
{1, 23, 6}	3	5.943290	0.981785	0.514491	0.505119
{57, 6, 71}	3	6.041513	0.983256	0.513241	0.504647
{128, 57, 97}	3	13.325989	0.999977	0.504463	0.504452
{113, 22}	2	6.183763	0.985182	0.511999	0.504412
{23, 53, 97}	3	4.973886	0.958683	0.525982	0.504250
{25, 42, 56}	3	6.211431	0.985531	0.511520	0.504119
{108, 128}	2	12.775327	0.999961	0.504004	0.503984
{1, 56, 88}	3	11.921607	0.999914	0.503805	0.503762
{128, 39, 94}	3	10.675678	0.999730	0.503730	0.503594
{1, 23, 9}	3	3.773411	0.890338	0.565482	0.503470
{108, 12, 42}	3	2.739395	0.758400	0.663647	0.503310
{42, 50, 67}	3	4.117035	0.916629	0.548876	0.503116
{22, 88}	2	11.897484	0.999912	0.502975	0.502931
{1, 21, 71}	3	6.282032	0.986386	0.509684	0.502745
{53, 88, 97}	3	4.323573	0.929450	0.540875	0.502716
{108, 22, 57}	3	3.175452	0.825570	0.608745	0.502561
{23, 42, 50}	3	3.319099	0.843712	0.595645	0.502552
{108, 22, 94}	3	2.773421	0.764357	0.657326	0.502432
{36, 90}	2	25.797002	1.000000	0.502126	0.502125
{113, 22, 39}	3	4.004659	0.908763	0.552494	0.502086
{36, 56, 90}	3	11.809498	0.999905	0.501469	0.501421
{104, 22, 42}	3	5.708433	0.977742	0.512753	0.501340
{1, 5, 90}	3	5.804057	0.979484	0.511647	0.501150
{12, 21}	2	7.711109	0.996099	0.503110	0.501147
{5, 57, 67}	3	6.012780	0.982838	0.509760	0.501012
{26, 90}	2	10.666127	0.999728	0.500945	0.500809
{44, 57, 97}	3	3.978949	0.906867	0.552211	0.500782
{21, 6, 71}	3	3.251155	0.835355	0.599316	0.500641
{128, 57, 94}	3	13.131269	0.999972	0.500486	0.500472
{36, 39, 88}	3	11.310061	0.999849	0.500436	0.500360
{23, 26, 88}	3	6.160584	0.984884	0.508015	0.500336
{50, 90}	2	9.751035	0.999374	0.500570	0.500257
{56}	1	45.884814	1.000000	0.500156	0.500156
{12, 42, 67}	3	4.371427	0.932142	0.536474	0.500069
{23, 79, 97}	3	12.175846	0.999932	0.499991	0.499957
{21, 5, 71}	3	4.376437	0.932418	0.536103	0.499872
{128, 21, 67}	3	7.201401	0.993886	0.502821	0.499747
{39, 56, 6}	3	3.618921	0.876159	0.570177	0.499566
{108, 9, 97}	3	2.103974	0.621406	0.803695	0.499421
{113, 23, 36}	3	5.358301	0.970059	0.514818	0.499404
{39, 44, 94}	3	3.957785	0.905280	0.551478	0.499241
{23, 56, 71}	3	11.012790	0.999802	0.499273	0.499174
{1, 57, 6}	3	6.921264	0.992185	0.502881	0.498951
{23, 71}	2	23.514332	1.000000	0.498831	0.498831
{36, 6, 97}	3	5.960525	0.982052	0.507627	0.498516
{120, 21, 67}	3	5.691654	0.977422	0.510015	0.498500
{36, 6, 94}	3	6.601010	0.989670	0.503649	0.498447
{39, 5, 56}	3	6.024978	0.983016	0.506964	0.498354
{104, 9}	2	8.385770	0.997859	0.499268	0.498199
{108, 120, 56}	3	5.663720	0.976880	0.509915	0.498125
{21, 5, 97}	3	2.574670	0.727685	0.683551	0.497410
{120, 23, 88}	3	12.963108	0.999967	0.497212	0.497196
{36, 57, 88}	3	13.833576	0.999985	0.497192	0.497185
{113, 36, 57}	3	6.428458	0.988003	0.503208	0.497171
{12, 57, 94}	3	6.001978	0.982678	0.505830	0.497068
{12, 21, 23}	3	3.836834	0.895709	0.554934	0.497059
{39, 67, 71}	3	12.815779	0.999962	0.496946	0.496928
{120, 6, 90}	3	5.139232	0.964011	0.515458	0.496907
{128, 6, 90}	3	5.701479	0.977610	0.508264	0.496884
{104, 67, 88}	3	12.753186	0.999960	0.496736	0.496716
{21, 26, 88}	3	3.394231	0.852502	0.582479	0.496565
{42, 50, 56}	3	4.088364	0.914685	0.542836	0.496524
{79, 9, 97}	3	4.693356	0.947872	0.523752	0.496450
{113, 36, 39}	3	5.824697	0.979842	0.506452	0.496243
{1, 113, 56}	3	5.486433	0.973129	0.509821	0.496122
{23, 79, 94}	3	12.212813	0.999934	0.496013	0.495981
{44, 56, 94}	3	5.725424	0.978062	0.507035	0.495912
{120, 67, 90}	3	12.424219	0.999946	0.495919	0.495893
{113, 22, 23}	3	3.698873	0.883696	0.560860	0.495630
{1, 71, 90}	3	13.197947	0.999974	0.495589	0.495576
{5, 71, 94}	3	7.119173	0.993428	0.498609	0.495332
{104, 108, 71}	3	6.208707	0.985497	0.502515	0.495227
{26, 39, 88}	3	6.761188	0.991014	0.499649	0.495159
{22, 67, 88}	3	5.546679	0.974465	0.508075	0.495102
{128, 21}	2	14.459703	0.999992	0.495093	0.495089
{104, 113}	2	11.963628	0.999917	0.494990	0.494949
{1, 23, 67}	3	13.252853	0.999975	0.494952	0.494940
{39, 44, 88}	3	4.420980	0.934827	0.529400	0.494897
{113, 21, 79}	3	3.794533	0.892155	0.554416	0.494625
{21, 53}	2	5.352587	0.969915	0.509956	0.494614
{108, 5, 57}	3	2.844349	0.776366	0.636933	0.494493
{108, 39, 5}	3	2.819853	0.772281	0.640177	0.494396
{104, 5, 90}	3	6.832927	0.991558	0.498537	0.494329
{108, 12}	2	5.184456	0.965349	0.512020	0.494277
{128, 88, 9}	3	5.073077	0.961964	0.513780	0.494237
{12, 23, 88}	3	8.292295	0.997673	0.495363	0.494210
{23, 26, 94}	3	4.364647	0.931766	0.530092	0.493922
{104, 113, 67}	3	5.973250	0.982246	0.502752	0.493826
{57, 67, 71}	3	12.707461	0.999958	0.493703	0.493682
{113, 88, 9}	3	2.379538	0.687077	0.718146	0.493422
{128, 21, 56}	3	7.054081	0.993042	0.496781	0.493325
{1, 108, 71}	3	4.909511	0.956411	0.515624	0.493149
{120, 21, 56}	3	5.744582	0.978417	0.503975	0.493097
{108, 128, 56}	3	5.874807	0.980686	0.502721	0.493012
{113, 79, 88}	3	7.759624	0.996263	0.494845	0.492996
{113, 42, 6}	3	2.229606	0.652589	0.755034	0.492727
{113, 21, 23}	3	2.232287	0.653231	0.753956	0.492507
{104, 108, 6}	3	3.342530	0.846503	0.581786	0.492483
{36, 88, 9}	3	4.242931	0.924683	0.532563	0.492452
{39, 44, 97}	3	3.726949	0.886241	0.555455	0.492267
{50, 56, 90}	3	5.997015	0.982604	0.500432	0.491727
{39, 79, 97}	3	11.828552	0.999906	0.491624	0.491578
{21, 50}	2	4.558752	0.941771	0.521713	0.491334
{5, 56, 57}	3	5.589211	0.975370	0.503720	0.491314
{108, 67, 79}	3	8.092358	0.997219	0.492678	0.491308
{113, 22, 57}	3	3.815827	0.893958	0.549250	0.491006
{104, 113, 56}	3	6.465862	0.988386	0.496712	0.490943
{26, 57, 88}	3	6.527800	0.988993	0.496405	0.490941
{39, 56, 71}	3	11.332360	0.999852	0.490906	0.490834
{113, 128, 23}	3	6.579472	0.989475	0.496035	0.490814
{5, 9}	2	3.644821	0.878649	0.558559	0.490777
{39, 6, 71}	3	4.744903	0.950043	0.516485	0.490683
{104, 56, 88}	3	11.558865	0.999880	0.490696	0.490637
{1, 21, 9}	3	2.785922	0.766514	0.639946	0.490527
{36, 42, 71}	3	11.849980	0.999908	0.490181	0.490136
{36, 57, 9}	3	5.295565	0.968435	0.506060	0.490086
{12, 57, 97}	3	5.050825	0.961250	0.509807	0.490052
{128, 23, 88}	3	14.031905	0.999988	0.490019	0.490013
{104, 21, 71}	3	6.296022	0.986549	0.496575	0.489896
{120, 56, 90}	3	11.988035	0.999919	0.489879	0.489840
{113, 67, 9}	3	2.671454	0.746113	0.656484	0.489811
{12, 39, 94}	3	5.062955	0.961641	0.509074	0.489546
{36, 42, 5}	3	5.233392	0.966742	0.506239	0.489402
{1, 104, 108}	3	7.300527	0.994396	0.492154	0.489396
{26, 9, 94}	3	3.690225	0.882902	0.553853	0.488998
{25, 42, 9}	3	3.220717	0.831482	0.588089	0.488986
{53, 57, 94}	3	4.953090	0.957962	0.510395	0.488939
{26, 56, 90}	3	5.639227	0.976393	0.500682	0.488863
{1, 23, 56}	3	11.525116	0.999876	0.488912	0.488852
{120, 39, 88}	3	12.662122	0.999957	0.488846	0.488825
{53, 90}	2	11.468228	0.999870	0.488814	0.488750
{128, 67, 90}	3	15.197971	0.999996	0.488726	0.488724
{57, 79, 97}	3	12.014154	0.999921	0.488381	0.488342
{12, 42, 6}	3	3.639851	0.878175	0.556012	0.488276
{36, 67, 97}	3	13.105802	0.999971	0.488088	0.488074
{56, 57, 71}	3	12.310324	0.999940	0.487663	0.487633
{39, 79, 94}	3	11.185522	0.999831	0.487647	0.487565
{6, 79, 90}	3	6.710470	0.990608	0.492182	0.487559
{44, 67, 90}	3	4.004536	0.908754	0.536474	0.487522
{108, 56, 9}	3	2.377443	0.686615	0.709939	0.487455
{79, 88, 9}	3	5.799354	0.979401	0.497697	0.487445
{113, 120, 57}	3	6.817603	0.991445	0.491618	0.487412
{120, 57, 9}	3	6.184795	0.985196	0.494470	0.487150
{22, 56, 88}	3	5.343954	0.969695	0.502035	0.486821
{1, 39, 67}	3	12.114982	0.999928	0.486586	0.486551
{113, 120, 23}	3	5.236966	0.966842	0.503228	0.486542
{50, 67, 90}	3	5.020548	0.960259	0.506472	0.486344
{5, 71, 97}	3	5.264446	0.967599	0.502586	0.486302
{39, 71}	2	25.440957	1.000000	0.486282	0.486281
{104, 88}	2	25.979880	1.000000	0.485966	0.485966
{113, 120, 39}	3	5.943633	0.981790	0.494862	0.485851
{53, 67, 90}	3	5.519665	0.973874	0.498634	0.485607
{120, 57, 88}	3	14.121181	0.999989	0.485602	0.485597
{113, 128, 39}	3	7.441624	0.995050	0.487668	0.485255
{23, 25, 94}	3	5.495503	0.973335	0.498526	0.485233
{23, 36, 39}	3	9.707514	0.999349	0.485542	0.485226
{53, 57, 97}	3	4.590218	0.943256	0.514372	0.485184
{108, 56, 79}	3	7.875300	0.996627	0.486638	0.484997
{21, 67, 79}	3	7.781420	0.996334	0.486738	0.484954
{21, 39, 9}	3	2.209609	0.647766	0.748441	0.484815
{120, 90}	2	24.062588	1.000000	0.484741	0.484741
{104, 23, 9}	3	3.629460	0.877178	0.552372	0.484529
{57, 79, 94}	3	12.917224	0.999966	0.484403	0.484387
{12, 67, 90}	3	5.845433	0.980196	0.494070	0.484285
{23, 44, 97}	3	3.450885	0.858829	0.563821	0.484226
{36, 67, 94}	3	11.862912	0.999909	0.484111	0.484067
{108, 36, 6}	3	3.710841	0.884787	0.547083	0.484052
{128, 42, 5}	3	6.948145	0.992366	0.487455	0.483734
{22, 71, 90}	3	5.805361	0.979507	0.493819	0.483699
{108, 26, 88}	3	3.146391	0.821676	0.588419	0.483490
{44, 56, 90}	3	4.042320	0.911474	0.530434	0.483476
{23, 53, 88}	3	5.237675	0.966862	0.499927	0.483361
{1, 57, 67}	3	12.618631	0.999955	0.483342	0.483320
{1, 23}	2	24.209816	1.000000	0.483290	0.483290
{44, 67, 97}	3	4.414221	0.934466	0.517053	0.483168
{128, 21, 9}	3	3.307012	0.842254	0.573351	0.482907
{128, 56, 90}	3	13.389340	0.999978	0.482686	0.482675
{104, 71, 90}	3	14.570550	0.999993	0.482480	0.482476
{23, 44, 57}	3	4.592970	0.943384	0.511263	0.482318
{23, 36, 57}	3	12.200853	0.999934	0.482299	0.482267
{113, 128, 57}	3	7.506509	0.995326	0.484425	0.482160
{128, 6, 97}	3	6.247944	0.985979	0.488843	0.481989
{12, 90}	2	15.304067	0.999996	0.481967	0.481965
{36, 56, 97}	3	10.981174	0.999796	0.482048	0.481950
{12, 56, 90}	3	6.380993	0.987501	0.488030	0.481930
{50, 88, 94}	3	3.707707	0.884502	0.544736	0.481820
{104, 23, 67}	3	11.687499	0.999893	0.481843	0.481791
{12, 39, 97}	3	4.501953	0.938998	0.513051	0.481754
{128, 39, 88}	3	12.388610	0.999944	0.481652	0.481625
{113, 5, 57}	3	3.240634	0.834025	0.577438	0.481598
{120, 6, 97}	3	5.383494	0.970689	0.496037	0.481497
{57, 71}	2	26.507788	1.000000	0.481416	0.481416
{26, 67, 90}	3	4.719568	0.948987	0.506722	0.480873
{12, 21, 97}	3	3.039788	0.806716	0.595882	0.480707
{22, 23}	2	11.303475	0.999848	0.480635	0.480562
{50, 88, 97}	3	3.611734	0.875460	0.548713	0.480376
{1, 39, 56}	3	10.326304	0.999629	0.480546	0.480367
{25, 57, 94}	3	6.285275	0.986424	0.486916	0.480305
{108, 79}	2	15.423902	0.999997	0.479880	0.479878
{128, 57, 9}	3	6.140076	0.984615	0.487276	0.479780
{1, 36, 42}	3	11.557660	0.999880	0.479820	0.479763
{21, 26, 90}	3	2.770921	0.763924	0.627955	0.479710
{26, 42, 71}	3	5.837718	0.980065	0.489394	0.479638
{120, 39, 9}	3	5.098616	0.962767	0.497714	0.479182
{21, 56, 79}	3	7.791386	0.996367	0.480698	0.478952
{120, 42, 71}	3	10.691259	0.999734	0.478591	0.478464
{113, 21, 67}	3	2.332313	0.676529	0.707187	0.478433
{128, 57, 88}	3	14.329659	0.999991	0.478409	0.478404
{128, 39, 9}	3	5.576923	0.975112	0.490520	0.478312
{36, 56, 94}	3	11.352480	0.999855	0.478071	0.478001
{25, 57, 97}	3	5.474585	0.972859	0.490893	0.477570
{1, 56, 57}	3	11.522136	0.999876	0.477302	0.477243
{108, 25}	2	6.309248	0.986702	0.483649	0.477217
{44, 88}	2	10.089934	0.999540	0.477359	0.477139
{120, 6, 94}	3	5.336046	0.969493	0.492060	0.477048
{1, 104, 21}	3	5.892730	0.980980	0.486214	0.476967
{21, 23, 25}	3	3.765125	0.889617	0.536020	0.476852
{22, 39, 67}	3	6.042876	0.983275	0.484816	0.476707
{108, 5, 94}	3	2.417314	0.695310	0.685514	0.476644
{120, 67, 97}	3	11.260292	0.999842	0.476498	0.476423
{53, 56, 90}	3	5.235510	0.966801	0.492594	0.476241
{1, 71, 97}	3	11.656097	0.999890	0.476168	0.476116
{1, 22, 90}	3	6.151750	0.984769	0.483458	0.476095
{120, 23, 9}	3	4.529724	0.940369	0.506080	0.475902
{1, 56, 9}	3	4.300085	0.928092	0.512673	0.475808
{22, 6, 90}	3	3.211034	0.830233	0.573090	0.475798
{12, 57, 88}	3	6.039237	0.983223	0.483753	0.475637
{104, 23, 56}	3	10.362371	0.999641	0.475803	0.475632
{108, 5, 88}	3	2.520350	0.716853	0.663437	0.475587
{23, 26, 39}	3	5.898727	0.981077	0.484755	0.475582
{36, 6, 88}	3	6.372150	0.987405	0.481572	0.475507
{53, 6, 90}	3	4.131234	0.917577	0.518173	0.475463
{1, 67, 9}	3	4.113944	0.916422	0.518713	0.475360
{21, 42, 53}	3	2.523107	0.717412	0.662271	0.475121
{1, 39, 6}	3	4.478174	0.937800	0.506124	0.474643
{120, 42, 5}	3	4.997390	0.959484	0.494649	0.474608
{39, 50, 88}	3	4.752386	0.950351	0.499399	0.474604
{5, 71, 88}	3	7.634389	0.995825	0.476532	0.474542
{113, 22, 94}	3	2.952980	0.793718	0.597831	0.474509
{26, 56, 97}	3	6.186713	0.985220	0.481261	0.474148
{128, 6, 94}	3	5.698859	0.977560	0.484866	0.473986
{128, 90}	2	27.979424	1.000000	0.473951	0.473950
{23, 79, 88}	3	16.364492	0.999999	0.473936	0.473935
{36, 39, 57}	3	11.504410	0.999874	0.473932	0.473873
{120, 23, 39}	3	11.015317	0.999802	0.473953	0.473859
{23, 25, 88}	3	7.279161	0.994289	0.476449	0.473728
{26, 67, 97}	3	5.433797	0.971907	0.487301	0.473611
{104, 39, 67}	3	11.460559	0.999869	0.473476	0.473414
{113, 6, 71}	3	3.526426	0.866879	0.545761	0.473108
{36, 97}	2	24.225878	1.000000	0.472994	0.472994
{25, 67, 90}	3	7.488835	0.995252	0.475156	0.472900
{21, 25}	2	7.621281	0.995776	0.474738	0.472733
{67, 79, 90}	3	15.412651	0.999997	0.472643	0.472641
{23, 6, 71}	3	3.892582	0.900227	0.524851	0.472486
{120, 67, 94}	3	10.466405	0.999673	0.472521	0.472367
{23, 26, 57}	3	5.887420	0.980893	0.481512	0.472312
